city,country,device_type,event_time,event_type,region,session_id,user_creation_time,user_id
New York,United States,Mac,2022-03-21 00:38:34.826000,Plugin - Not in Database,New York,1647823114552,2022-03-14 14:08:58.168000,405731680965
New York,United States,Mac,2022-03-21 00:38:37.280000,Plugin - Not in Database,New York,1647823114552,2022-03-14 14:08:58.168000,405731680965
New York,United States,Mac,2022-03-21 02:03:06.129000,Plugin - Not in Database,New York,1647828185874,2022-03-14 14:08:58.168000,405731680965
New York,United States,Mac,2022-03-21 02:03:23.619000,Plugin - See Impact page,New York,1647828185874,2022-03-14 14:08:58.168000,405731680965
New York,United States,Mac,2022-03-21 02:03:30.210000,Plugin - Click See Impact button,New York,1647828185874,2022-03-14 14:08:58.168000,405731680965
New York,United States,Mac,2022-03-21 02:03:32.562000,Plugin - Searched Item,New York,1647828185874,2022-03-14 14:08:58.168000,405731680965
New York,United States,Mac,2022-03-21 02:03:44.115000,Plugin - Not in Database,New York,1647828185874,2022-03-14 14:08:58.168000,405731680965
New York,United States,Mac,2022-03-21 02:04:12.003000,Plugin - Not in Database,New York,1647828185874,2022-03-14 14:08:58.168000,405731680965
New York,United States,Mac,2022-03-21 02:05:52.936000,Plugin - Not in Database,New York,1647828185874,2022-03-14 14:08:58.168000,405731680965
Quincy,United States,Windows,2022-03-21 03:34:25.042000,Plugin - Log in page,California,1647833663753,2022-03-21 03:34:25.042000,
Quincy,United States,Windows,2022-03-21 03:34:25.159000,Plugin - is pinned,California,1647833663753,2022-03-21 03:34:25.042000,
Quincy,United States,Windows,2022-03-21 03:34:40.384000,Plugin - Sign up page,California,1647833663753,2022-03-21 03:34:25.042000,
Quincy,United States,Windows,2022-03-21 03:34:40.417000,Plugin - is pinned,California,1647833663753,2022-03-21 03:34:25.042000,
Quincy,United States,Windows,2022-03-21 03:35:51.619000,Plugin - Successful Registration,California,1647833663753,2022-03-21 03:34:25.042000,840465529328
Quincy,United States,Windows,2022-03-21 03:35:51.725000,Plugin - Log in page,California,1647833663753,2022-03-21 03:34:25.042000,840465529328
Quincy,United States,Windows,2022-03-21 03:35:51.741000,Plugin - is pinned,California,1647833663753,2022-03-21 03:34:25.042000,840465529328
Quincy,United States,Windows,2022-03-21 03:36:12.440000,Plugin - Footer click to Search History page,California,1647833663753,2022-03-21 03:34:25.042000,840465529328
Quincy,United States,Windows,2022-03-21 03:36:13.311000,Plugin - Search History Page,California,1647833663753,2022-03-21 03:34:25.042000,840465529328
Quincy,United States,Windows,2022-03-21 03:36:15.447000,Plugin - Footer click to Profile page,California,1647833663753,2022-03-21 03:34:25.042000,840465529328
Quincy,United States,Windows,2022-03-21 03:36:15.471000,Plugin - Profile page,California,1647833663753,2022-03-21 03:34:25.042000,840465529328
Quincy,United States,Windows,2022-03-21 03:36:16.295000,Plugin - is pinned,California,1647833663753,2022-03-21 03:34:25.042000,840465529328
Quincy,United States,Windows,2022-03-21 03:39:07.308000,Plugin - Footer click to Search History page,California,1647833663753,2022-03-21 03:34:25.042000,840465529328
Quincy,United States,Windows,2022-03-21 03:39:08.351000,Plugin - Search History Page,California,1647833663753,2022-03-21 03:34:25.042000,840465529328
Quincy,United States,Windows,2022-03-21 03:39:15.604000,Plugin - Footer click to Profile page,California,1647833663753,2022-03-21 03:34:25.042000,840465529328
Quincy,United States,Windows,2022-03-21 03:39:15.633000,Plugin - Profile page,California,1647833663753,2022-03-21 03:34:25.042000,840465529328
Quincy,United States,Windows,2022-03-21 03:39:16.555000,Plugin - is pinned,California,1647833663753,2022-03-21 03:34:25.042000,840465529328
New York,United States,Mac,2022-03-21 04:09:26.999000,Plugin - Searched Item,New York,1647835761960,2022-03-12 18:17:55.088000,389698404053
New York,United States,Mac,2022-03-21 04:09:36.377000,Plugin - Searched Item,New York,1647835761960,2022-03-12 18:17:55.088000,389698404053
New York,United States,Mac,2022-03-21 04:09:43.802000,Plugin - Searched Item,New York,1647835761960,2022-03-12 18:17:55.088000,389698404053
New York,United States,Mac,2022-03-21 04:09:55.385000,Plugin - Searched Item,New York,1647835761960,2022-03-12 18:17:55.088000,389698404053
New York,United States,Mac,2022-03-21 04:10:13.774000,Plugin - Supported Brand Browsing,New York,1647835761960,2022-03-12 18:17:55.088000,389698404053
New York,United States,Mac,2022-03-21 04:10:20.382000,Plugin - Supported Brand Browsing,New York,1647835761960,2022-03-12 18:17:55.088000,389698404053
New York,United States,Mac,2022-03-21 04:10:43.992000,Plugin - Supported Brand Browsing,New York,1647835761960,2022-03-12 18:17:55.088000,389698404053
New York,United States,Mac,2022-03-21 04:11:04.081000,Plugin - Supported Brand Browsing,New York,1647835761960,2022-03-12 18:17:55.088000,389698404053
New York,United States,Mac,2022-03-21 04:12:06.982000,Plugin - See Impact page,New York,1647835761960,2022-03-12 18:17:55.088000,389698404053
New York,United States,Mac,2022-03-21 04:12:10.769000,Plugin - Click See Impact button,New York,1647835761960,2022-03-12 18:17:55.088000,389698404053
New York,United States,Mac,2022-03-21 04:12:14.655000,Plugin - Searched Item,New York,1647835761960,2022-03-12 18:17:55.088000,389698404053
New York,United States,Mac,2022-03-21 04:37:26.051000,Plugin - Footer click to Search History page,New York,1647835761960,2022-03-12 18:17:55.088000,389698404053
New York,United States,Mac,2022-03-21 04:37:30.414000,Plugin - Search History Page,New York,1647835761960,2022-03-12 18:17:55.088000,389698404053
New York,United States,Mac,2022-03-21 04:36:34.015000,Plugin - Supported Brand Browsing,New York,1647835761960,2022-03-12 18:17:55.088000,389698404053
New York,United States,Mac,2022-03-21 04:36:37.585000,Plugin - See Impact page,New York,1647835761960,2022-03-12 18:17:55.088000,389698404053
New York,United States,Mac,2022-03-21 04:36:56.907000,Plugin - See Impact page,New York,1647835761960,2022-03-12 18:17:55.088000,389698404053
New York,United States,Mac,2022-03-21 04:36:58.585000,Plugin - Click See Impact button,New York,1647835761960,2022-03-12 18:17:55.088000,389698404053
New York,United States,Mac,2022-03-21 04:37:03.017000,Plugin - Searched Item,New York,1647835761960,2022-03-12 18:17:55.088000,389698404053
New York,United States,Mac,2022-03-21 04:37:12.740000,Plugin - Searched Item,New York,1647835761960,2022-03-12 18:17:55.088000,389698404053
Brooklyn,United States,Mac,2022-03-21 05:25:19.969000,Plugin - See Impact page,New York,1647839775805,2022-03-12 18:17:55.088000,389698404053
Brooklyn,United States,Mac,2022-03-21 05:25:23.188000,Plugin - Click See Impact button,New York,1647839775805,2022-03-12 18:17:55.088000,389698404053
Brooklyn,United States,Mac,2022-03-21 05:25:26.847000,Plugin - Searched Item,New York,1647839775805,2022-03-12 18:17:55.088000,389698404053
Brooklyn,United States,Mac,2022-03-21 05:25:39.561000,Plugin - See Impact page,New York,1647839775805,2022-03-12 18:17:55.088000,389698404053
Brooklyn,United States,Mac,2022-03-21 05:25:41.180000,Plugin - Searched Item,New York,1647839775805,2022-03-12 18:17:55.088000,389698404053
Brooklyn,United States,Mac,2022-03-21 05:16:18.191000,Plugin - Not in Database,New York,1647839775805,2022-03-12 18:17:55.088000,389698404053
Brooklyn,United States,Mac,2022-03-21 05:16:49.325000,Plugin - Not in Database,New York,1647839775805,2022-03-12 18:17:55.088000,389698404053
Brooklyn,United States,Mac,2022-03-21 05:21:56.854000,Plugin - Supported Brand Browsing,New York,1647839775805,2022-03-12 18:17:55.088000,389698404053
Brooklyn,United States,Mac,2022-03-21 05:22:11.728000,Plugin - Supported Brand Browsing,New York,1647839775805,2022-03-12 18:17:55.088000,389698404053
Brooklyn,United States,Mac,2022-03-21 05:22:13.173000,Plugin - Footer click to Search History page,New York,1647839775805,2022-03-12 18:17:55.088000,389698404053
Brooklyn,United States,Mac,2022-03-21 05:22:16.773000,Plugin - Search History Page,New York,1647839775805,2022-03-12 18:17:55.088000,389698404053
